Item,Price Point Name,Category,SKU,Items Sold,Item Sales,Discounts,Refund Count,Refunds,Net Sales
Item,"",None,"",49.0,$590.83,$0.00,1.0,$-40.00,$550.83
12pk. Cans,12pk Brisk,None,"",1.0,$6.00,$0.00,0.0,$0.00,$6.00
12pk. Cans,12pk Coke,None,"",2.0,$12.00,$0.00,0.0,$0.00,$12.00
12pk. Cans,12pk Dr. Pepper,None,"",1.0,$6.00,$0.00,0.0,$0.00,$6.00
12pk. Cans,12pk Pepsi,None,"",2.0,$12.00,$0.00,0.0,$0.00,$12.00
12pk. Cans,12pk Rootbeer,None,"",1.0,$6.00,$0.00,0.0,$0.00,$6.00
12pk. Cans,12pk. Mtn. Dew,None,"",1.0,$6.00,$0.00,0.0,$0.00,$6.00
12pk. Cans,12pk. RC ,None,"",1.0,$6.00,$0.00,0.0,$0.00,$6.00
7 Up,Can,None,"",5.0,$3.25,$0.00,0.0,$0.00,$3.25
Bacon,12oz,None,"",3.0,$12.00,$0.00,0.0,$0.00,$12.00
Bacon,Pound,None,"",4.0,$20.00,$0.00,0.0,$0.00,$20.00
Batteries,9volt 2pk,None,"",1.0,$4.00,$0.00,0.0,$0.00,$4.00
Batteries,D 2pk,None,"",2.0,$7.00,$0.00,0.0,$0.00,$7.00
Beef Stick,Beef N Cheese Sticks,Snacks,"",5.0,$5.00,$0.00,0.0,$0.00,$5.00
Beef Stick,Beef Stick,Snacks,"",1.0,$0.75,$0.00,1.0,$-0.75,$0.00
Beef Stick,Jack Link Beef Steak,Snacks,"",8.0,$10.00,$0.00,0.0,$0.00,$10.00
Beef Stick,Jack Links Snack Pack,Snacks,"",33.0,$57.75,$0.00,0.0,$0.00,$57.75
Beef Stick,Pepperoni Beef Stick,Snacks,"",5.0,$3.75,$0.00,0.0,$0.00,$3.75
Black & Mild,"",Tobacco,"",6.0,$4.50,$0.00,0.0,$0.00,$4.50
Bread,Hamburger Buns,None,"",1.0,$2.50,$0.00,0.0,$0.00,$2.50
Bread,Hot Dog Buns,None,"",1.0,$2.50,$0.00,0.0,$0.00,$2.50
Bread,Wheat,None,"",2.0,$4.00,$0.00,0.0,$0.00,$4.00
Bread,White,None,"",3.0,$4.50,$0.00,0.0,$0.00,$4.50
Butter ,Salted,None,"",1.0,$4.50,$0.00,0.0,$0.00,$4.50
Cakes,6 PKU Mini Chocolate Donuts,None,"",3.0,$4.50,$0.00,0.0,$0.00,$4.50
Cakes,Big Cheese Danish,None,"",10.0,$10.00,$0.00,0.0,$0.00,$10.00
Cakes,Big Texas Cinnamon Roll,None,"",23.0,$23.00,$0.00,0.0,$0.00,$23.00
Cakes,Cheese Crumb cakes,None,"",3.0,$3.00,$0.00,0.0,$0.00,$3.00
Cakes,Cherry Cheese Danish,None,"",6.0,$6.00,$0.00,0.0,$0.00,$6.00
Cakes,Cinnamon Crumb Cakes,None,"",7.0,$7.00,$0.00,0.0,$0.00,$7.00
Cakes,Jumbo Honey Bun,None,"",12.0,$12.00,$0.00,0.0,$0.00,$12.00
Cakes,Jumbo Iced Honey Bun,None,"",9.0,$9.00,$0.00,0.0,$0.00,$9.00
Cakes,Mini Donuts,None,"",5.0,$5.00,$0.00,0.0,$0.00,$5.00
Camel,Blue,Tobacco,"",5.0,$27.50,$0.00,0.0,$0.00,$27.50
Camel,Crush,Tobacco,"",5.0,$27.50,$0.00,0.0,$0.00,$27.50
Camel,King,Tobacco,"",5.0,$27.50,$0.00,0.0,$0.00,$27.50
Camel,Menthol,Tobacco,"",2.0,$11.00,$0.00,0.0,$0.00,$11.00
Camel,Wide,Tobacco,"",7.0,$38.50,$0.00,0.0,$0.00,$38.50
Candy,10c Candies,None,"",5.0,$0.50,$0.00,0.0,$0.00,$0.50
Candy,10c Chocolates,None,"",9.0,$0.90,$0.00,0.0,$0.00,$0.90
Candy,20c Candies,None,"",1.0,$0.20,$0.00,0.0,$0.00,$0.20
Candy,5c Candies,None,"",107.0,$5.35,$0.00,0.0,$0.00,$5.35
Candy,Breathsavers,None,"",3.0,$3.00,$0.00,0.0,$0.00,$3.00
Candy,Skittles,None,"",9.0,$9.00,$0.00,2.0,$-2.00,$7.00
Candy,Twizzlers,None,"",23.0,$2.30,$0.00,0.0,$0.00,$2.30
Candy Bars,100 Grand 6pk.,None,"",1.0,$2.00,$0.00,0.0,$0.00,$2.00
Candy Bars,3 Musketeers ,None,"",6.0,$6.00,$0.00,0.0,$0.00,$6.00
Candy Bars,Almond Joy,None,"",5.0,$5.00,$0.00,1.0,$-1.00,$4.00
Candy Bars,Babe Ruth,None,"",7.0,$7.00,$0.00,0.0,$0.00,$7.00
Candy Bars,Butterfinger- King,None,"",6.0,$9.00,$0.00,0.0,$0.00,$9.00
Candy Bars,Crunch,None,"",3.0,$3.00,$0.00,0.0,$0.00,$3.00
Candy Bars,Hersheys,None,"",11.0,$11.00,$0.00,0.0,$0.00,$11.00
Candy Bars,Hersheys Dark,None,"",3.0,$3.00,$0.00,0.0,$0.00,$3.00
Candy Bars,Hersheys with Almonds,None,"",5.0,$5.00,$0.00,0.0,$0.00,$5.00
